Event,Location,Date,Start,End,Image
Vide-Grenier Luxembourg,Place Guillaume II - De Knuedler,06.10.2024,10:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/vide-grenier-luxembourg-iEqIqW/thumb_Vide-Grenier-Marion-Dessard_main.jpg
"Anabela and Jorge Valente, Robert Weis",Auditorium Cité,08.10.2024,18:30,20:45,https://storage.googleapis.com/lu-echo-prod-experiences/FA7MuqnAlmYEYsy9d3kd/anabela-and-jorge-vaente-robert-weis-in-collaboration-with-the-embassy-of-japan-japan-travel-stor-oVgQ0e/thumb_Anabela-et-Jorge-Valente_main.JPG
Marché à la Brocante,"Place d'Armes, Luxembourg",19.10.2024,8:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/3loPgf4aw49L2NlOXUu08N-pc7DHm/thumb_brocante20echo20lu_main.jpg
Glacismaart,Champs du Glacis,20.10.2024,10:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/glacismaart-aJrmtg/thumb_md_vdl_glacismaart-06232_main.jpg
Glacismaart,Champs du Glacis,17.11.2024,10:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/glacismaart-aJrmtg/thumb_md_vdl_glacismaart-06232_main.jpg
Marchés et animations de Noël,Luxembourg-Ville,22.11.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/winterlights-2022-Gw1f5F/thumb_winterlights_main.jpg
"Das Mosaik von Vichten, um 240 n. Chr.",Nationalmusée um Fëschmaart,2.07,12:30,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/hungry-for-culture-le-chapiteau-corinthien-du-titelberg-DkmLPt/thumb_mosaic-mnha-001_main.jpg
"Führungen der <span class=""hyphen"">Nationalbibliothek </span>",Bibliothèque nationale du Luxembourg,30.03,11:00,,https://storage.googleapis.com/lu-echo-prod-experiences/YA_WfjqcSO9VDTgf0gbu/guided-tours-of-the-national-library-uuddsV/thumb_B-timent-BnL_main.jpg
In goldenem Licht,Villa Vauban - Musée d'Art de la Ville de Luxembourg,5.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/i8Tag5AuFnQhyqaJybXPW5/in-golden-light-4HCmWL/thumb_PC-Cover-villa_main.jpg
Summer storytelling workshop,Librairie Ernster Cloche d'Or,15.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/uJjZwdp_Odahr03-y3b0/summer-storytelling-workshop-HBMnnV/thumb_Affiches-Events_main.jpg
"<span class=""hyphen""> Sommerschlussverkauf </span>",Cityshopping Infopoint,24.06,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/FrhxZ0Kc44cz0u4wR9CF/summer-sales-QwePej/thumb_Soldes-Blomst-2024-1920X1440-Echo_main.jpg
